homeTeam,awayTeam,homeScore,awayScore
BAR,RMA,4,2
ARS,RMA,2,3
BAY,BAR,1,3
RMA,LIV,2,3
ARS,MCI,2,3
BAR,RMA,1,2
BAY,PSG,3,1
RMA,BAR,3,2
BAR,MCI,1,3
JUV,LIV,3,1
PSG,ARS,2,3
MCI,PSG,3,4
RMA,JUV,2,3
BAR,ARS,1,3
BAR,MCI,3,0
BAY,BAR,2,3
ARS,BAR,3,4
PSG,LIV,4,2
MCI,PSG,0,2
PSG,RMA,3,1
RMA,JUV,4,3
BAR,MCI,0,2
BAY,JUV,3,2
ARS,MCI,1,0
JUV,BAR,3,2
ARS,BAR,1,2
MCI,LIV,4,2
PSG,LIV,3,4
BAR,RMA,3,4
BAY,JUV,1,3
BAY,RMA,3,4
BAY,JUV,4,3
RMA,BAR,4,2
ARS,MCI,2,3
ARS,BAR,2,0
ARS,MCI,5,3
PSG,ARS,3,2
PSG,RMA,1,2
BAR,RMA,2,3
MCI,LIV,0,3
BAY,JUV,4,2
MCI,JUV,2,3
JUV,BAR,1,2
ARS,MCI,4,5
ARS,PSG,2,3
PSG,ARS,2,0
PSG,RMA,2,1
BAY,LIV,2,3
RMA,LIV,1,3
RMA,LIV,2,3
RMA,BAR,5,4
ARS,MCI,1,3
ARS,MCI,2,3
JUV,BAR,3,1
BAY,ARS,2,3
BAY,LIV,2,3
BAY,RMA,2,3
BAY,PSG,4,2
BAY,PSG,2,3
MCI,LIV,3,1
ARS,LIV,2,0
ARS,MCI,2,3
MCI,BAR,1,3
MCI,BAR,0,2
BAY,PSG,4,5
PSG,LIV,1,3
JUV,ARS,5,6
ARS,JUV,1,2
JUV,ARS,4,2
JUV,ARS,1,3
JUV,ARS,3,1
JUV,ARS,4,2
JUV,ARS,2,3
JUV,ARS,3,2
JUV,ARS,1,0
JUV,ARS,2,3
BAY,PSG,2,3
JUV,ARS,2,3
MCI,BAR,1,2
JUV,BAR,2,3
ARS,MCI,4,3
RMA,JUV,4,3
RMA,MCI,4,2
RMA,MCI,1,0
MCI,RMA,3,0
RMA,MCI,3,1
MCI,RMA,2,3
RMA,MCI,4,3
RMA,MCI,3,4
RMA,MCI,3,0
RMA,JUV,4,1
RMA,JUV,5,3
RMA,JUV,3,1
RMA,JUV,3,0
RMA,JUV,4,2
RMA,JUV,3,1
RMA,JUV,3,2
JUV,RMA,1,2
JUV,RMA,3,1
RMA,JUV,4,2
PSG,RMA,3,4
PSG,LIV,3,4
JUV,LIV,3,0
BAR,LIV,3,2
JUV,BAR,1,3
BAY,BAR,4,2
MCI,BAR,0,3
ARS,RMA,1,3
RMA,JUV,2,1
PSG,JUV,4,1
RMA,ARS,3,2
PSG,MCI,2,0
BAR,MCI,1,3
JUV,BAR,3,0
JUV,BAR,3,4
ARS,RMA,4,3
BAY,PSG,1,3
ARS,RMA,3,2
BAY,LIV,3,4
PSG,LIV,2,0
MCI,LIV,2,3
PSG,BAR,1,2
MCI,BAR,3,1
BAR,MCI,5,3
JUV,ARS,1,0
RMA,MCI,4,3
RMA,ARS,4,2
RMA,JUV,7,8
PSG,RMA,3,1
ARS,BAR,3,2
BAY,RMA,4,3
ARS,BAR,2,1
JUV,LIV,3,4
JUV,PSG,2,3
BAR,JUV,3,4
RMA,MCI,2,1
RMA,MCI,5,4
MCI,RMA,4,3
PSG,ARS,4,3
PSG,ARS,3,2
JUV,BAR,4,3
BAY,BAR,4,3
ARS,PSG,1,3
BAR,MCI,3,4
RMA,MCI,4,5
MCI,JUV,0,2
PSG,ARS,4,2
MCI,LIV,3,1
JUV,BAR,3,0
JUV,BAR,4,2
ARS,BAR,4,3
ARS,MCI,2,1
BAY,PSG,2,1
BAR,ARS,2,3
PSG,ARS,4,3
PSG,JUV,3,1
RMA,JUV,4,1
MCI,LIV,2,3
RMA,MCI,2,1
MCI,BAR,2,3
ARS,MCI,4,3
JUV,BAR,4,1
BAY,ARS,1,3
JUV,RMA,2,3
BAY,LIV,2,3
PSG,LIV,2,3
PSG,ARS,1,3
RMA,ARS,1,2
BAY,JUV,2,4
BAY,PSG,1,3
ARS,MCI,2,4
BAR,RMA,2,1
BAR,MCI,7,6
BAR,RMA,2,1
PSG,LIV,0,2
MCI,ARS,0,3
PSG,RMA,3,2
MCI,ARS,3,4
PSG,ARS,3,2
RMA,MCI,3,1
ARS,MCI,3,1
RMA,JUV,1,3
BAY,LIV,1,3
ARS,PSG,2,1
BAR,MCI,4,5
PSG,LIV,4,3
ARS,LIV,3,2
JUV,BAR,2,3
ARS,MCI,3,2
RMA,JUV,4,3
RMA,BAR,4,3
BAY,PSG,3,4
PSG,JUV,2,3
PSG,RMA,3,4
BAR,MCI,2,1
PSG,JUV,2,4
JUV,BAR,1,2
BAY,MCI,0,1
PSG,MCI,4,2
BAR,MCI,3,4
RMA,JUV,4,3
BAY,ARS,4,2
PSG,JUV,2,3
PSG,ARS,2,0
PSG,RMA,5,4
ARS,PSG,4,5
ARS,MCI,3,4
JUV,RMA,3,1
BAR,JUV,3,2
RMA,LIV,4,5
BAY,LIV,3,4
ARS,BAR,3,1
JUV,BAR,4,2
PSG,ARS,3,2
BAY,MCI,4,2
ARS,MCI,3,2
BAR,PSG,3,4
MCI,ARS,2,3
MCI,ARS,4,5
PSG,JUV,0,2
BAR,LIV,2,3
RMA,BAR,1,2
JUV,RMA,5,4
JUV,BAR,2,3
BAY,BAR,1,3
MCI,BAR,1,2
PSG,ARS,5,3
PSG,ARS,0,3
BAR,JUV,2,0
BAR,LIV,0,3
BAR,JUV,2,3
ARS,LIV,4,3
ARS,MCI,3,4
ARS,RMA,0,2
RMA,ARS,1,3
RMA,BAR,2,1
PSG,ARS,3,4
JUV,BAR,4,2
PSG,JUV,1,2
MCI,JUV,1,2
BAR,PSG,3,2
RMA,JUV,1,2
ARS,MCI,2,3
ARS,MCI,1,3
PSG,ARS,3,2
BAY,RMA,3,1
ARS,MCI,4,3
JUV,BAR,5,3
BAY,PSG,2,3
RMA,BAR,4,3
JUV,BAR,3,4
MCI,RMA,5,4
PSG,MCI,3,1
JUV,ARS,4,3
RMA,ARS,0,3
ARS,PSG,3,2
RMA,PSG,3,2
